video_no,video_id,url,title,topic,subtopic,metric,rank,keyword,score,embedding_raw,embedding_norm,vlm_rrf_norm,vlm_rank
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,4,Operations with complex numbers,0.836533,0.712949,0.694032,0.953125,4
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,5,Nth root,0.727388,0.502214,0.469409,0.938462,5
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,1,Modulus of a complex number,0.696437,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,2,Area of a region between two or more curves,0.632062,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,3,Equations involving complex numbers,0.604825,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,4,Center of mass of a 1D object,0.600447,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,5,Powers of complex numbers,0.575399,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,1,Area of a region between two or more curves,0.849348,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,2,Regions in the complex plane,0.821402,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,3,Powers of complex numbers,0.818325,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,4,Modulus of a complex number,0.80922,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,5,Operations with complex numbers,0.797158,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,1,Modulus of a complex number,0.983091,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,2,Area of a region between two or more curves,0.953783,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,3,Center of mass of a 1D object,0.908467,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,4,Powers of complex numbers,0.90003,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,5,Equations involving complex numbers,0.859321,,,,
