video_id,title,method,model,word_count,char_count,duration_s,elapsed_s,real_time_factor,words_per_minute,segment_count,paragraph_count,keyword_hit_count,keyword_total,keyword_recall_pct,inaudible_spans,caption_type,prompt_version,device,fallback_used,quality_checks
KTNcYYHuBTY,Powers of the Imaginary Unit i,Gemini (optimized),gemini-3-flash-preview,563,2978,279.2,56.7,0.203,121.0,,8,1,5,20.0,0,,mathe-transcribe-v2,,false,"{""imaginary_unit_i"": true, ""sqrt_negative_one"": true}"
KTNcYYHuBTY,Powers of the Imaginary Unit i,Whisper (optimized),distil-large-v3,646,3220,279.2,13.4,0.048,138.8,67,1,1,5,20.0,0,,mathe-transcribe-v2,cuda,,"{""imaginary_unit_i"": true, ""sqrt_negative_one"": true}"
LVLuqNH5iWw,Local Extrema of a Multivariable Function,Gemini (optimized),gemini-3-flash-preview,323,2259,441.9,95.2,0.215,43.9,,7,4,5,80.0,0,,mathe-transcribe-v2,,false,"{""saddle_point_correct"": true, ""saddle_point_wrong"": false, ""critical_points"": true, ""partial_derivatives"": true}"
LVLuqNH5iWw,Local Extrema of a Multivariable Function,Whisper (optimized),distil-large-v3,628,2954,441.9,19.2,0.043,85.3,34,1,3,5,60.0,0,,mathe-transcribe-v2,cuda,,"{""saddle_point_correct"": false, ""saddle_point_wrong"": true, ""critical_points"": true, ""partial_derivatives"": true}"
LVLuqNH5iWw,Local Extrema of a Multivariable Function,YouTube captions,,577,2412,442.0,3.4,0.008,78.3,,1,3,5,60.0,0,auto,,,,"{""saddle_point_correct"": false, ""saddle_point_wrong"": true, ""critical_points"": true, ""partial_derivatives"": true}"
uKfcS7-O6UE,Quotient Rule for Differentiation,Gemini (optimized),gemini-3-flash-preview,364,2068,252.1,112.4,0.446,86.6,,8,1,5,20.0,0,,mathe-transcribe-v2,,false,"{""quotient_rule"": true, ""dy_dx_notation"": true}"
uKfcS7-O6UE,Quotient Rule for Differentiation,Whisper (optimized),distil-large-v3,506,2346,252.1,10.8,0.043,120.4,18,1,1,5,20.0,0,,mathe-transcribe-v2,cuda,,"{""quotient_rule"": true, ""dy_dx_notation"": false}"
uKfcS7-O6UE,Quotient Rule for Differentiation,YouTube captions,,448,2036,252.0,3.4,0.013,106.7,,1,1,5,20.0,0,auto,,,,"{""quotient_rule"": true, ""dy_dx_notation"": true}"
